COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
4354;TRZ;Trarza Emirate;Trarza Sultanate Trarza Moors;3;1;01-01-1816;0;1700;1;0;-9;50000;1848;1;30000;30000;2;1;0;31-12-1904;0;1;-9;1;0;1;0;0;17 42 19.0 N;14 33 54.8 W;1;0;1;0
616;TUN;Tunisia;Ifriqiyyah;1;1;01-01-1816;0;1705;1;0;-9;1000000;1838;0;2000000;800000;2;0;0;12-05-1881;0;1;0;1;0;1;1;1;36 48 23 N;10 10 54 E;0;0;1;0
616;TUN;Tunisia;-9;1;1;20-3-1956;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
500;UGA;Uganda;-9;1;1;9-10-1962;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5109;UNY;Unyanyembe;-9;3;1;01-01-1816;0;-9;-9;0;-9;-9;-9;0;-9;-9;-9;-9;0;30-10-1892;0;1;0;1;0;1;0;1;3 36 0 S;33 45 0 E;0;1;1;0
5105;URA;Urambo;-9;3;1;01-01-1860;0;-9;-9;0;-9;4000000;-9;0;-9;-9;1;0;0;31-12-1890;0;4;0;1;0;1;0;0;5 04 38.9 S;32 04 15.2 E;0;0;1;0
516;BUR;Urundi;Brundi kingdom;1;1;01-01-1816;0;1700;1;0;-9;2000000;1879;0;-9;-9;1;0;0;01-07-1890;0;1;0;1;0;1;0;0;3 23 0 S;29 22 0 E;1;0;1;0
4832;WAD;Wadai;Waday Quadai Queddai Burgu Kingdom;2;1;01-01-1816;0;1707;1;0;-9;260000;1885;0;2500000;260000;2;1;0;02-06-1909;0;1;0;1;0;1;0;0;13 49 41.6 N;20 50 02.0 E;1;0;1;0
4337;WAL;Walo;Waalo Kingdom;3;1;01-01-1816;0;1600;1;0;-9;75000;1894;1;-9;-9;2;0;0;18-03-1855;0;1;0;0;0;1;0;1;14 44 22.4 N;17 26 17.5 W;1;0;1;0
4396;YAT;Yatenga;Yatenga;1;1;01-01-1816;0;1540;1;0;-9;700000;1899;0;1000000;-9;1;0;0;18-05-1895;0;1;0;1;0;1;0;1;13 20 0 N;2 30 0 W;1;0;0;1
4907;YEK;Yeke Kingdom;Garanganze, Msiri;1;1;01-01-1880;0;-9;-9;0;-9;70000;1891;1;80000;-9;2;1;0;20-12-1891;0;1;0;0;0;1;0;0;10 23 50.76 S;26 58 5.01 E;1;0;1;0
551;ZAM;Zambia;-9;1;1;24-10-1964;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
511;ZAN;Zanzibar;Zanzibar Sultanate;2;1;01-01-1856;1;-9;-9;0;-9;200000;1840;0;300000;-9;2;0;0;01-07-1890;0;1;0;1;0;1;0;1;6 9 54 S;39 11 56.4 E;0;1;0;0
511;ZAN;Zanzibar;-9;1;1;19-12-1963;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;26-4-1964;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
552;ZIM;Zimbabwe;-9;1;1;11-11-1965;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5621;ZUL;Zululand;Zulu Kingdom Zulu Empire;2;1;01-01-1817;0;-9;-9;0;-9;250000;1825;0;-9;-9;2;1;0;01-07-1879;0;1;0;0;0;1;0;0;28 26 9.23 S;31 16 3.35 E;1;0;1;0
